County,Median Home Value,Median Annual Property Tax Payment,Average Effective Property Tax Rate
Anderson,"$110,000","$1,507",1.37%
Andrews,"$153,200","$1,974",1.29%
Angelina,"$110,500","$1,760",1.59%
Aransas,"$183,200","$2,103",1.15%
Archer,"$152,000","$2,253",1.48%
Armstrong,"$156,100","$2,078",1.33%
Atascosa,"$106,000","$1,715",1.62%
Austin,"$197,200","$2,765",1.40%
Bailey,"$75,200","$1,648",2.19%
Bandera,"$202,000","$2,056",1.02%
Bastrop,"$199,300","$3,802",1.91%
Baylor,"$69,100",$990,1.43%
Bee,"$88,700","$1,139",1.28%
Bell,"$153,500","$3,365",2.19%
Bexar,"$171,200","$4,024",2.35%
Blanco,"$261,300","$2,738",1.05%
Borden,"$156,300",$782,0.50%
Bosque,"$135,500","$1,428",1.05%
Bowie,"$123,200","$1,776",1.44%
Brazoria,"$213,100","$4,315",2.02%
Brazos,"$217,700","$4,717",2.17%
Brewster,"$171,700","$2,321",1.35%
Briscoe,"$72,500",$745,1.03%
Brooks,"$64,200",$647,1.01%
Brown,"$109,500","$1,434",1.31%
Burleson,"$126,500","$1,421",1.12%
Burnet,"$203,300","$2,726",1.34%
Caldwell,"$147,200","$2,315",1.57%
Calhoun,"$117,400","$1,538",1.31%
Callahan,"$100,000","$1,139",1.14%
Cameron,"$89,700","$1,852",2.06%
Camp,"$109,400","$1,455",1.33%
Carson,"$108,700","$1,473",1.36%
Cass,"$91,100","$1,150",1.26%
Castro,"$83,300","$1,328",1.59%
Chambers,"$224,400","$2,865",1.28%
Cherokee,"$111,600","$1,476",1.32%
Childress,"$86,800","$1,675",1.93%
Clay,"$110,000","$1,685",1.53%
Cochran,"$38,000",$646,1.70%
Coke,"$74,100","$1,188",1.60%
Coleman,"$83,100","$1,080",1.30%
Collin,"$337,200","$6,750",2.00%
Collingsworth,"$57,500","$1,002",1.74%
Colorado,"$131,400","$1,839",1.40%
Comal,"$293,600","$4,698",1.60%
Comanche,"$110,900","$1,770",1.60%
Concho,"$107,700","$1,352",1.26%
Cooke,"$166,700","$2,416",1.45%
Coryell,"$120,700","$2,507",2.08%
Cottle,"$44,000",$623,1.42%
Crane,"$89,000","$1,253",1.41%
Crockett,"$102,200",$381,0.37%
Crosby,"$61,300","$1,157",1.89%
Culberson,"$63,700",$844,1.32%
Dallam,"$95,000","$1,336",1.41%
Dallas,"$193,900","$4,306",2.22%
Dawson,"$80,100","$1,204",1.50%
Deaf Smith,"$91,800","$1,355",1.48%
Delta,"$107,600","$1,231",1.14%
Denton,"$297,100","$6,384",2.15%
DeWitt,"$121,900","$1,327",1.09%
Dickens,"$53,100",$630,1.19%
Dimmit,"$61,300",$674,1.10%
Donley,"$70,200","$1,191",1.70%
Duval,"$61,800",$567,0.92%
Eastland,"$82,600","$1,075",1.30%
Ector,"$147,900","$2,256",1.53%
Edwards,"$71,800",$883,1.23%
El Paso,"$214,500","$4,280",2.00%
Ellis,"$126,500","$3,268",2.58%
Erath,"$166,300","$2,454",1.48%
Falls,"$76,900","$1,187",1.54%
Fannin,"$139,200","$1,790",1.29%
Fayette,"$193,200","$2,112",1.09%
Fisher,"$63,900","$1,001",1.57%
Floyd,"$70,300",$916,1.30%
Foard,"$48,500",$755,1.56%
Fort Bend,"$277,600","$6,337",2.28%
Franklin,"$144,300","$1,784",1.24%
Freestone,"$116,800","$1,374",1.18%
Frio,"$86,000","$1,372",1.60%
Gaines,"$141,200","$2,153",1.52%
Galveston,"$212,600","$4,089",1.92%
Garza,"$78,200","$1,129",1.44%
Gillespie,"$311,300","$3,325",1.07%
Glasscock,"$303,300","$1,204",0.40%
Goliad,"$129,000","$1,340",1.04%
Gonzales,"$113,700","$1,465",1.29%
Gray,"$79,800","$1,135",1.42%
Grayson,"$152,400","$2,933",1.92%
Gregg,"$144,300","$2,083",1.44%
Grimes,"$163,200","$1,964",1.20%
Guadalupe,"$207,700","$3,742",1.80%
Hale,"$84,500","$1,269",1.50%
Hall,"$59,900",$911,1.52%
Hamilton,"$123,600","$1,741",1.41%
Hansford,"$111,300","$1,656",1.49%
Hardeman,"$53,100",$796,1.50%
Hardin,"$135,600","$1,486",1.10%
Harris,"$189,400","$4,042",2.13%
Harrison,"$137,200","$1,830",1.33%
Hartley,"$179,200","$2,259",1.26%
Haskell,"$60,500",$719,1.19%
